"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 23 11:40:11 GMT 2024","Fri Aug 23 11:40:11 GMT 2024","54","","petstoreTest","","","","test_update_pet",""
"passed","Fri Aug 23 11:40:11 GMT 2024","Fri Aug 23 11:40:11 GMT 2024","55","","petstoreTest","","","","test_get_pet",""
"passed","Fri Aug 23 11:40:11 GMT 2024","Fri Aug 23 11:40:11 GMT 2024","83","","petstoreTest","","","","test_delete_pet[123456]",""
"failed","Fri Aug 23 11:40:11 GMT 2024","Fri Aug 23 11:40:11 GMT 2024","54","","petstoreTest","","","","test_delete_pet[789012]",""
"passed","Fri Aug 23 11:40:11 GMT 2024","Fri Aug 23 11:40:11 GMT 2024","42","","petstoreTest","","","","test_create_pet",""
"failed","Fri Aug 23 11:40:11 GMT 2024","Fri Aug 23 11:40:11 GMT 2024","28","","petstoreTest","","","","test_delete_pet[345678]",""
